username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
racingindore;2016-06-16 11:42;0;0;"Well worth reading @ FraserNelson on the reasons The @ spectator is advocating # Brexit . Well reasoned argument , delightfully constructed .";;@ @;#;"743378149770149888";https://twitter.com/racingindore/status/743378149770149888
paulkporter;2016-06-16 11:41;0;0;"The Brexit Flotilla was quite the spectacle yesterday. I'm not political and my views are my… https://www.instagram.com/p/BGtfBqXK0Nt/";;;;"743377977384239105";https://twitter.com/paulkporter/status/743377977384239105
DavidWoodhead26;2016-06-16 11:35;0;0;"# Brexit There are 500 million people in the EU There are 21 Billion in the rest of the world Which is best for trade pic.twitter.com/6XwQOydz8F";;;#;"743376437097402368";https://twitter.com/DavidWoodhead26/status/743376437097402368
JoannieCo;2016-06-16 11:30;0;0;"# LeaveEuropeJointheROTW # Brexit! # VoteLeave For the sake of our sanity! For the sake of our country!";;;# # #;"743375090100887552";https://twitter.com/JoannieCo/status/743375090100887552
ThurrockNews;2016-06-16 11:22;1;3;"Enquirer poll reveals Thurrock set to vote for Brexit http://goo.gl/GEQ0xk # Thurrockpic.twitter.com/3bDJGrt4m1";;;#;"743373219478966272";https://twitter.com/ThurrockNews/status/743373219478966272
afshinrattansi;2016-06-16 11:16;3;1;"Brexit: Leave campaigner claims BOE governor sent him ‘aggressive’ letter - http://www.irishtimes.com/business/economy/brexit-leave-campaigner-claims-boe-governor-sent-him-aggressive-letter-1.2687093 … # EUreferendum";;;#;"743371729519648768";https://twitter.com/afshinrattansi/status/743371729519648768
JoannieCo;2016-06-16 11:11;0;0;"my friend was offered over £1200 per month when came over. But working now # Brexit. # VoteLeave";;;# #;"743370310297264128";https://twitter.com/JoannieCo/status/743370310297264128
JoannieCo;2016-06-16 11:05;0;0;"I couldn't believe it when my friend told me. They have people here showing how to work the system. # Brexit";;;#;"743368888306569216";https://twitter.com/JoannieCo/status/743368888306569216
JoannieCo;2016-06-16 10:58;0;1;"Or leave kids n Romania... Still claim CB .. Leave country for 1 night...come back, start again.. # Brexit # VoteLeave";;;# #;"743367037595099136";https://twitter.com/JoannieCo/status/743367037595099136
JoannieCo;2016-06-16 10:51;0;1;"They come over. Claim for 6 months. Go stay in France for 1 night. Come back claim for 6 months. # VictoriaLive Brexit # VoteLeave # No2EU";;;# # #;"743365476101791744";https://twitter.com/JoannieCo/status/743365476101791744
prydwen3;2016-06-16 10:50;0;0;"Friend has had people unfriend them on FB over their # Brexit stance. Anybody on Twitter lost any followers?";;;#;"743365216889602048";https://twitter.com/prydwen3/status/743365216889602048
yates_rob;2016-06-16 10:45;0;0;"Does anybody attending @ ChathamHouse # LondonConference seriously think that Britain should # Brexit ?";;@;# #;"743363877757325312";https://twitter.com/yates_rob/status/743363877757325312
rock2shark;2016-06-16 10:27;1;0;"Dismantling of British industry and economy by the European Union: https://docs.google.com/document/d/1xBYkMhCIFtV5HB3hmfphyZfl85Do_blTIvOK-oUNeSM/mobilebasic?pli=1 … @ UKLabour @ Conservatives @ LibDems @ UKIP # Brexit";;@ @ @ @;#;"743359375520243712";https://twitter.com/rock2shark/status/743359375520243712
DailyBUCKS;2016-06-16 10:08;0;0;"The great in out debate: Local leaders share their views on Brexit http://j.mp/23ddRlR # Buckspic.twitter.com/fjOFxUnd1v";;;#;"743354466846400516";https://twitter.com/DailyBUCKS/status/743354466846400516
gio_bu;2016-06-16 09:51;0;1;"I can't vote but I try to give my contribute anyway # brexit # remain # homeincambridge @… https://www.instagram.com/p/BGtSZl-gVh-/";;@;# # #;"743350286073266177";https://twitter.com/gio_bu/status/743350286073266177
owendaviesart;2016-06-16 09:31;0;0;"BIG VOTE # brexit # democracyisagoaltobeattained # unity # peace # vote # zeitgeistmovement… https://www.instagram.com/p/BGtQHhIBnbI/";;;# # # # # #;"743345187464720385";https://twitter.com/owendaviesart/status/743345187464720385
NickRH14;2016-06-16 09:07;0;0;"I doubt many professionals will be bothered about the European chair throwing championship. If we brexit we can ditch that too";;;;"743339190822174720";https://twitter.com/NickRH14/status/743339190822174720
Antonymous_P;2016-06-16 09:04;0;0;"Greatest supporters of brexit, in order, are Ukip supporters, Express readers, Mail readers, Sun Readers and people with less education.";;;;"743338447893463040";https://twitter.com/Antonymous_P/status/743338447893463040
donnantwich;2016-06-16 08:38;0;2;"Make your Millions another way. We're off. # BREXIT";;;#;"743331938795020288";https://twitter.com/donnantwich/status/743331938795020288
DailyGLAMORGAN;2016-06-16 08:21;0;0;"Warning that Brexit will hurt Welsh steel, scare away investors and trigger recession http://j.mp/1Q6WiSe # Cymrupic.twitter.com/YparQWIsbh";;;#;"743327643613822978";https://twitter.com/DailyGLAMORGAN/status/743327643613822978
Newsminster;2016-06-16 08:01;0;1;"EU referendum live: Osborne's role 'untenable' after Brexit budget say pro-leave… http://bit.ly/1Q6S652 # Politicspic.twitter.com/fdD4T6UYIM";;;#;"743322642388652032";https://twitter.com/Newsminster/status/743322642388652032
jorkvicboy;2016-06-16 07:46;0;0;"are they experts? Switzerland isn't doing badly not in EU # voteleave # brexit";;;# #;"743318901409222656";https://twitter.com/jorkvicboy/status/743318901409222656
trendinaliaGB;2016-06-16 03:48;0;0;"# Brexit just started trending with 140442 tweets. More trends at http://www.trendinalia.com/twitter-trending-topics/unitedkingdom/unitedkingdom-today.html … # trndnl";;;# #;"743258809473241089";https://twitter.com/trendinaliaGB/status/743258809473241089
DailyGLAMORGAN;2016-06-16 03:32;2;0;"Guto Harri lays out why the fight against Brexit is vital for # Wales' future http://j.mp/23czQcP # Cymrupic.twitter.com/B3AIlG32eV";;;# #;"743254809352896512";https://twitter.com/DailyGLAMORGAN/status/743254809352896512
NicoleLoveLloyd;2016-06-16 00:05;0;0;"# brexit # in # makehistory # vote @Teddington Middlesex England https://www.instagram.com/p/BGsPZIHF-f3/";;@Teddington;# # # #;"743202853037215745";https://twitter.com/NicoleLoveLloyd/status/743202853037215745
elpgb;2016-06-16 00:03;0;0;"I'm afraid you are kidding yourself there will be no pay rises under brexit and more unemployment";;;;"743202417710338048";https://twitter.com/elpgb/status/743202417710338048
warrenista;2016-06-15 23:51;0;1;"# PowerMonkeys @ Channel4 is the best programme on TV right now, better than 'real' politics - VERY FUNNY # Brexit # Trump HOT @ benwillbond – bei Anchor Tap";;@ @;# # #;"743199237349965824";https://twitter.com/warrenista/status/743199237349965824
dickiewood;2016-06-15 23:42;0;0;"Unemployment down in Yorkshire... bloody # BrExit jitters again :/";;;#;"743197020484157440";https://twitter.com/dickiewood/status/743197020484157440
hoppimike;2016-06-15 23:02;0;0;"It'd be easy for the Tories or EU to win # EUref - just respect the sovereignty, democracy & culture of the nations. But they won't. # Brexit";;;# #;"743186880565514241";https://twitter.com/hoppimike/status/743186880565514241
kckane;2016-06-15 22:51;0;0;"# BRexit or # BRemain... I no even know again.";;;# #;"743184256046866432";https://twitter.com/kckane/status/743184256046866432
tcgriffin;2016-06-15 22:09;4;3;"McGuinness: If Brexit happens, there should be a border poll. # irishin";;;#;"743173481978789888";https://twitter.com/tcgriffin/status/743173481978789888
rock2shark;2016-06-15 22:06;0;0;"Another great Brexit film here. It seems all Brexit movies are great! Many Remainers talk donkey talk. @ UKIP https://m.facebook.com/dianejamesmep/?fref=nf …";;@;;"743172949402845184";https://twitter.com/rock2shark/status/743172949402845184
