DailyGLAMORGAN;15/06/2016 05:24;1;0;Five charts that show how worried the world's financial markets are about Brexit http://j.mp/1Q33Oh7 # Cymrupic.twitter.com/7ijWFYhgLZ;;;#;7,42921E+17;https://twitter.com/DailyGLAMORGAN/status/742920712189415424
DailyGLAMORGAN;15/06/2016 05:24;1;0;Five charts that show how worried the world's financial markets are about Brexit http://j.mp/1Q33Oh7 # Cymrupic.twitter.com/7ijWFYhgLZ;;;#;7,42921E+17;https://twitter.com/DailyGLAMORGAN/status/742920712189415424
DailyGLAMORGAN;15/06/2016 07:03;2;0;Brexit graffiti spotted in # Newport http://j.mp/238VD4W # Cymrupic.twitter.com/igXUecALwi;;;# #;7,42946E+17;https://twitter.com/DailyGLAMORGAN/status/742945517844434945
DailyGLAMORGAN;16/06/2016 03:32;2;0;Guto Harri lays out why the fight against Brexit is vital for # Wales' future http://j.mp/23czQcP # Cymrupic.twitter.com/B3AIlG32eV;;;# #;7,43255E+17;https://twitter.com/DailyGLAMORGAN/status/743254809352896512
DailyGLAMORGAN;16/06/2016 08:21;0;0;Warning that Brexit will hurt Welsh steel, scare away investors and trigger recession http://j.mp/1Q6WiSe # Cymrupic.twitter.com/YparQWIsbh;;;#;7,43328E+17;https://twitter.com/DailyGLAMORGAN/status/743327643613822978
DailyGLAMORGAN;16/06/2016 16:59;0;0;The leaders of the UK's biggest cities say 'Brexit is not worth the risk' http://j.mp/1Q8d1EL # Cymrupic.twitter.com/hBbcqLWQ2g;;;#;7,43458E+17;https://twitter.com/DailyGLAMORGAN/status/743457893354082304
DailyGLAMORGAN;17/06/2016 13:29;0;0;'Please don't go' - What the rest of the world is saying about Brexit http://j.mp/24VxiPB # Cymrupic.twitter.com/WOyMwkmDD4;;;#;7,43767E+17;https://twitter.com/DailyGLAMORGAN/status/743767432985141248
DailyGLAMORGAN;19/06/2016 18:01;0;0;'Anger over immigration has prevailed over reason' - Reverend Aled Edwards on Brexit http://j.mp/265wi17 # Cymrupic.twitter.com/RMtmbVHUU9;;;#;7,44561E+17;https://twitter.com/DailyGLAMORGAN/status/744560799432089602
DailyGLAMORGAN;19/06/2016 23:23;0;0;This # Cardiff man's home-made anti-Brexit poster has become the talk of the UK http://j.mp/24ZwA3K # Cymrupic.twitter.com/YSLqFaUTT1;;;# #;7,44642E+17;https://twitter.com/DailyGLAMORGAN/status/744641687767519233
DailyGLAMORGAN;20/06/2016 14:23;1;0;Language groups join forces to warn of 'disastrous' consequences of Brexit http://j.mp/28JcCa7 # Cymrupic.twitter.com/ovW8EfPPPT;;;#;7,44868E+17;https://twitter.com/DailyGLAMORGAN/status/744868194444181504
DailyGLAMORGAN;20/06/2016 14:55;0;0;Welsh steelmaker Celsa has warned Brexit poses a 'significant threat' http://j.mp/28JmXCX # Cymrupic.twitter.com/mxspS7sOuM;;;#;7,44876E+17;https://twitter.com/DailyGLAMORGAN/status/744876253455360000
DailyGLAMORGAN;21/06/2016 01:47;0;0;Ex-Chancellor warns Brexit could 'crash' economy and kill off investment in # Wales http://j.mp/28NJqhW # Cymrupic.twitter.com/QfEd0ds5cY;;;# #;7,4504E+17;https://twitter.com/DailyGLAMORGAN/status/745040312867794944
DailyGLOUCESTER;19/06/2016 15:55;0;0;# Stroud woman launches Brexit campaign - 19 years after she died http://j.mp/265kfkk # Gloucestershire;;;# #;7,44529E+17;https://twitter.com/DailyGLOUCESTER/status/744528940652331008
DailyGLOUCESTER;19/06/2016 21:48;0;2;# Stroud nurse's wish to campaign for Brexit is granted - 19 years after… http://j.mp/24Zr94E # Gloucestershirepic.twitter.com/jZcKdlUrZN;;;# #;7,44618E+17;https://twitter.com/DailyGLOUCESTER/status/744617779664347136
DailyHAMPSHIRE;15/06/2016 15:49;0;0;"Hampshire MP among 57 MPs opposing Chancellor's Brexit Budget"" http://j.mp/1Q4sfuy # Hampshirepic.twitter.com/qLeVACOAt1""";;;#;7,43078E+17;https://twitter.com/DailyHAMPSHIRE/status/743077883686461441
DailyHAMPSHIRE;18/06/2016 00:16;0;0;# Aldershot EU Brexit rally cancelled after Jo Cox MP death following shooting… http://j.mp/24WCMJV # Hampshirepic.twitter.com/zyJ0jyvbD8;;;# #;7,4393E+17;https://twitter.com/DailyHAMPSHIRE/status/743930254448693248
DailyHAMPSHIRE;19/06/2016 08:49;0;0;Brexit vote could end future football stars' Premier careers http://j.mp/24YEvyi # Hampshirepic.twitter.com/lC0zW8nKh9;;;#;7,44422E+17;https://twitter.com/DailyHAMPSHIRE/status/744421762486591488
DailyHEREFORD;16/06/2016 17:24;0;0;UKIP Brexit battle bus attracts vote leave supporters in # RossOnWye http://j.mp/1Q8ilIt # Herefordshirepic.twitter.com/JmG6bW47pR;;;# #;7,43464E+17;https://twitter.com/DailyHEREFORD/status/743464205404123136
DailyHERTS;18/06/2016 09:06;0;0;FARMING MATTERS: Brexit is best for many farmers says our columnist http://j.mp/24XcoPZ # Hertspic.twitter.com/8zQmpUG8UW;;;#;7,44064E+17;https://twitter.com/DailyHERTS/status/744063737372549121
DailyKENT;19/06/2016 16:23;0;0;Chris Grayling visits Gurdwara temple in Gravesend during Brexit suspension after Jo… http://goo.gl/dnWYoc # Kentpic.twitter.com/2qyFyWRnvN;;;#;7,44536E+17;https://twitter.com/DailyKENT/status/744535964513615873
